Date,Close/Last,Volume,Open,High,Low
02/06/2020,142.65,6683128,142.18,142.88,142.00
02/05/2020,142.01,10782160,142.30,142.70,141.90
02/04/2020,143.58,11388280,143.99,144.14,143.06
02/03/2020,145.54,15310740,144.945,145.755,144.12
01/31/2020,145.90,14538100,145.17,145.99,145.09
01/30/2020,144.58,14711790,144.90,145.67,144.29
01/29/2020,144.56,9567654,143.44,144.70,143.43
01/28/2020,143.16,10612920,143.925,144.085,142.82
01/27/2020,144.29,10935240,143.95,144.29,143.5004
01/24/2020,142.08,8584952,141.42,142.55,141.30
01/23/2020,140.94,9747418,140.845,141.38,140.78
01/22/2020,139.96,6317029,139.72,140.14,139.59
01/21/2020,139.47,6794885,138.81,139.65,138.77
01/17/2020,138.02,9693280,137.58,138.14,137.36
01/16/2020,139.21,6798593,139.26,139.53,138.74
01/15/2020,139.65,6290520,139.52,139.76,139.02
01/14/2020,138.73,13921030,138.18,138.82,138.135
01/13/2020,138.02,5967295,137.88,138.09,137.39
01/10/2020,138.44,8776937,137.67,138.47,137.6299
01/09/2020,137.22,7412990,136.00,137.435,135.905
01/08/2020,136.74,10626390,137.93,138.31,136.32
01/07/2020,137.645,8456431,138.22,138.47,137.64
01/06/2020,138.33,11370200,139.69,139.71,138.15
01/03/2020,139.12,12366830,138.27,139.16,137.88
01/02/2020,137.015,11034460,136.79,137.53,136.665
12/31/2019,135.48,10707520,136.21,136.46,135.38
12/30/2019,136.82,7979841,135.89,136.90,135.66
12/27/2019,137.32,7300695,137.44,137.63,137.29
12/26/2019,137.17,5290981,136.91,137.22,136.51
12/24/2019,136.84,4667428,135.92,137.06,135.89
12/23/2019,136.45,5175177,136.81,136.9687,136.00
12/20/2019,136.65,5455919,136.13,136.69,135.93
12/19/2019,136.47,6591083,136.00,136.86,135.7601
12/18/2019,136.47,6244828,137.30,137.45,136.28
12/17/2019,137.60,6179893,138.21,138.34,137.21
12/16/2019,137.79,9160997,138.40,138.46,137.43
12/13/2019,139.04,11335350,138.12,139.61,137.23
12/12/2019,137.45,14868130,139.19,139.2846,136.61
12/11/2019,139.75,6257375,139.30,140.14,139.23
12/10/2019,138.66,4947745,139.18,139.35,138.41
12/09/2019,138.65,4155592,138.99,139.11,138.57
12/06/2019,138.35,7931904,138.03,139.12,137.86
12/05/2019,139.12,7274024,138.66,139.44,138.60
12/04/2019,139.80,8588810,140.34,140.50,139.21
12/03/2019,141.21,13323800,140.04,141.77,139.93
12/02/2019,138.31,17705000,138.14,138.67,137.95
11/29/2019,140.42,6251071,140.62,140.68,139.78
11/27/2019,140.72,4096955,140.60,140.91,140.42
11/26/2019,141.13,4281650,141.00,141.31,140.94
11/25/2019,140.31,4157476,140.30,140.53,140.18
11/22/2019,139.90,4666026,140.10,140.28,139.68
11/21/2019,139.72,5981899,139.64,140.08,139.12
11/20/2019,140.60,7909901,139.91,140.60,139.77
11/19/2019,139.16,7893300,138.37,139.24,138.37
11/18/2019,138.01,5944030,138.21,138.61,137.93
11/15/2019,137.76,4657758,137.48,138.16,137.43
11/14/2019,137.91,10272800,137.80,138.44,137.67
11/13/2019,136.50,6751842,136.81,136.96,136.165
11/12/2019,135.62,5773630,135.28,135.9499,134.788
11/11/2019,135.00,4578098,135.38,135.39,134.64
11/08/2019,134.91,10227220,135.15,135.95,134.78
11/07/2019,135.48,19214110,136.35,136.36,134.45
11/06/2019,137.98,9353012,138.02,138.41,137.34
11/05/2019,137.15,13496330,137.22,137.44,136.73
11/04/2019,138.71,11134600,138.97,139.14,138.53
11/01/2019,140.56,11425490,140.73,141.27,139.79
10/31/2019,141.24,15835800,140.48,141.677,140.43
10/30/2019,139.36,10914150,137.77,139.45,137.77
10/29/2019,137.35,5296576,137.62,137.74,137.17
10/28/2019,137.26,11402050,137.58,137.58,136.99
10/25/2019,138.52,5669966,139.53,139.55,138.31
10/24/2019,139.20,6830080,139.68,140.24,139.03
10/23/2019,139.48,5999896,140.03,140.3138,139.36
10/22/2019,139.34,6690041,139.38,139.529,138.635
10/21/2019,138.53,8189288,138.57,138.99,138.225
10/18/2019,139.58,6456407,139.81,140.23,139.45
10/17/2019,139.58,6558397,139.52,140.38,139.2967
10/16/2019,139.92,8645282,139.64,140.06,139.35
10/15/2019,139.75,12663620,140.67,140.945,139.55
10/14/2019,141.46,5937726,141.48,141.505,141.08
10/11/2019,140.44,28513340,140.98,141.10,139.71
10/10/2019,142.20,15057080,143.12,143.18,141.73
10/09/2019,144.35,8933140,144.60,144.61,143.80
10/08/2019,145.17,14540250,145.82,145.93,144.62
10/07/2019,144.78,11751550,145.16,145.53,144.71
10/04/2019,145.99,11936990,145.35,146.03,145.20
10/03/2019,144.92,13526960,143.98,145.67,143.92
10/02/2019,143.61,12896880,143.46,144.27,143.24
10/01/2019,143.26,16869140,141.26,143.91,141.14
09/30/2019,143.08,8410379,141.88,143.09,141.84
09/27/2019,142.73,10387400,142.32,142.975,142.14
09/26/2019,142.38,10775210,142.27,142.99,141.895
09/25/2019,141.47,14520660,143.26,143.55,141.14
09/24/2019,143.57,12947860,142.42,143.845,142.41
09/23/2019,141.86,15402600,142.24,143.155,141.70
09/20/2019,141.89,13377240,140.77,141.98,140.44
09/19/2019,140.04,13434400,140.76,140.99,139.97
09/18/2019,139.62,11106840,139.93,140.66,139.53
09/17/2019,139.03,9287893,138.36,139.60,138.02
09/16/2019,138.28,10971570,137.88,138.57,137.2544
09/13/2019,136.54,18922160,138.28,138.71,136.54
09/12/2019,139.52,19163310,141.50,141.80,139.0647
09/11/2019,140.44,10941750,140.40,141.15,140.39
09/10/2019,140.69,13851420,142.84,143.29,140.66
09/09/2019,143.20,15862660,143.83,144.00,143.19
09/06/2019,145.79,9466371,145.26,146.03,145.08
09/05/2019,144.76,19386360,145.66,145.80,143.89
09/04/2019,147.43,7962232,146.53,147.62,146.48
09/03/2019,147.21,15662950,147.09,148.67,146.57
08/30/2019,147.28,13550910,146.61,147.48,146.36
08/29/2019,147.24,8884955,147.25,147.34,146.13
08/28/2019,147.80,10097780,148.78,148.90,147.66
08/27/2019,147.61,11332750,146.63,147.72,146.48
08/26/2019,145.37,12174800,145.87,146.29,145.29
08/23/2019,145.96,16194120,143.52,146.27,143.43
08/22/2019,143.60,13880310,144.00,144.70,143.48
08/21/2019,144.56,9372115,144.72,145.79,144.285
08/20/2019,145.53,7451608,145.28,145.6225,144.84
08/19/2019,144.04,13615290,143.57,144.66,143.515
08/16/2019,146.13,17649780,146.06,146.51,144.84
08/15/2019,147.31,23732520,145.95,148.60,145.58
08/14/2019,145.69,15068950,145.16,145.7261,144.71
08/13/2019,142.48,16099490,143.81,143.9116,141.95
08/12/2019,142.97,14094310,141.72,143.43,141.5115
08/09/2019,140.05,10625970,140.67,141.55,139.87
08/08/2019,140.33,14745990,139.14,140.43,137.98
08/07/2019,140.03,32582050,142.40,143.06,139.78
08/06/2019,139.98,12747360,138.20,139.98,138.085
